idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.265625
1,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.28125
2,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.28125
3,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.28125
4,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.28125
5,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.28125
6,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.28125
7,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.265625,0.28125
8,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.234375,0.28125
9,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.234375,0.28125
10,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.234375,0.28125
11,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.234375,0.296875
12,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
13,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
14,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
15,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
16,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
17,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
18,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
19,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
20,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
21,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
22,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
23,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
24,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
25,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
26,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
27,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
28,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
29,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,"['2', '3', '4', '7', '6', '5', '8']",3467.1940446544168,3467.1940446544168,0.21875,0.296875
