idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,19.28125,19.28125
1,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,18.46875,19.28125
2,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,18.390625,19.28125
3,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,18.140625,19.28125
4,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,18.140625,19.28125
5,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,18.140625,19.28125
6,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
7,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
8,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
9,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
10,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
11,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
12,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
13,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
14,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
15,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
16,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
17,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
18,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
19,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
20,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
21,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
22,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
23,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
24,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
25,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
26,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
27,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
28,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
29,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,"['5', '8', '6', '2', '3', '7', '4', '9']",2065.137905435637,2065.137905435637,17.78125,19.28125
