idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.125,1.125
1,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.125,1.140625
2,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.140625
3,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.171875
4,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.171875
5,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.171875
6,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.171875
7,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.171875
8,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.203125
9,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.203125
10,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.203125
11,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.203125
12,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.203125
13,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.203125
14,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
15,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
16,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
17,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
18,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
19,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
20,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
21,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
22,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
23,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
24,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
25,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
26,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.25
27,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.265625
28,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.265625
29,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,1.09375,1.265625
