idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.5625,1.5625
1,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.5,1.5625
2,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.5625
3,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.5625
4,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.5625
5,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.5625
6,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.5625
7,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.5625
8,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.5625
9,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.578125
10,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,3467.1940446544168,1.4375,1.578125
