idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['1', '44', '40', '15', '12', '13', '50', '2', '21', '17', '3', '37', '39', '19', '41', '8', '10', '25', '26', '29', '31', '18', '45', '43', '4', '24', '28', '27', '14', '11', '36', '49', '42', '30', '20', '47', '52', '33', '6', '46', '16', '7', '32', '35', '34', '38', '48', '5', '51', '9', '23', '22', '1']",18949.385842860192,"['1', '44', '40', '15', '12', '13', '50', '2', '21', '17', '3', '37', '39', '19', '41', '8', '10', '25', '26', '29', '31', '18', '45', '43', '4', '24', '28', '27', '14', '11', '36', '49', '42', '30', '20', '47', '52', '33', '6', '46', '16', '7', '32', '35', '34', '38', '48', '5', '51', '9', '23', '22', '1']",18949.385842860192,18949.385842860192,5.4375,5.4375
1,"['1', '24', '11', '33', '9', '32', '50', '46', '28', '29', '13', '2', '7', '17', '39', '5', '15', '8', '41', '3', '18', '31', '21', '42', '23', '49', '45', '22', '36', '4', '40', '37', '35', '34', '30', '19', '10', '43', '6', '38', '44', '26', '27', '12', '25', '51', '48', '20', '47', '14', '52', '16', '1']",16993.712439679217,"['1', '24', '11', '33', '9', '32', '50', '46', '28', '29', '13', '2', '7', '17', '39', '5', '15', '8', '41', '3', '18', '31', '21', '42', '23', '49', '45', '22', '36', '4', '40', '37', '35', '34', '30', '19', '10', '43', '6', '38', '44', '26', '27', '12', '25', '51', '48', '20', '47', '14', '52', '16', '1']",16993.712439679217,18949.385842860192,5.4375,5.453125
2,"['1', '20', '29', '16', '46', '11', '15', '39', '34', '49', '7', '3', '8', '19', '4', '32', '21', '31', '23', '36', '28', '51', '33', '43', '10', '22', '50', '12', '52', '14', '13', '27', '5', '44', '30', '42', '45', '40', '25', '26', '47', '18', '35', '37', '48', '24', '38', '6', '9', '41', '17', '2', '1']",18267.87146584405,"['1', '24', '11', '33', '9', '32', '50', '46', '28', '29', '13', '2', '7', '17', '39', '5', '15', '8', '41', '3', '18', '31', '21', '42', '23', '49', '45', '22', '36', '4', '40', '37', '35', '34', '30', '19', '10', '43', '6', '38', '44', '26', '27', '12', '25', '51', '48', '20', '47', '14', '52', '16', '1']",16993.712439679217,18949.385842860192,5.4375,5.5625
3,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,18949.385842860192,5.34375,5.5625
4,"['1', '42', '23', '35', '44', '14', '11', '25', '6', '24', '15', '9', '33', '51', '27', '5', '40', '39', '34', '49', '20', '7', '17', '22', '36', '47', '52', '13', '26', '50', '31', '18', '3', '41', '8', '12', '28', '46', '48', '37', '16', '29', '30', '2', '21', '45', '19', '10', '43', '4', '38', '32', '1']",16706.39408744868,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,18949.385842860192,5.328125,5.5625
5,"['1', '50', '44', '49', '37', '28', '33', '43', '8', '3', '21', '20', '39', '22', '41', '9', '35', '5', '52', '46', '16', '29', '23', '30', '7', '2', '42', '40', '6', '10', '45', '31', '18', '32', '25', '27', '14', '13', '11', '51', '12', '4', '19', '34', '36', '38', '24', '15', '48', '26', '47', '17', '1']",17186.004451319932,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,18949.385842860192,5.328125,5.5625
6,"['1', '14', '52', '27', '12', '4', '24', '37', '10', '41', '2', '40', '46', '25', '28', '13', '26', '47', '29', '16', '34', '5', '32', '31', '17', '30', '38', '48', '43', '39', '50', '20', '7', '21', '22', '49', '45', '19', '9', '33', '51', '11', '44', '35', '18', '23', '36', '6', '15', '8', '3', '42', '1']",17596.439932573918,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,18949.385842860192,5.328125,5.5625
7,"['1', '7', '19', '3', '33', '10', '22', '21', '42', '2', '41', '40', '27', '47', '29', '50', '32', '45', '8', '43', '28', '6', '37', '44', '23', '17', '31', '35', '39', '38', '5', '48', '46', '24', '12', '13', '52', '11', '25', '16', '20', '49', '15', '4', '51', '9', '18', '34', '36', '26', '14', '30', '1']",18861.96008937259,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,18949.385842860192,5.328125,5.5625
8,"['1', '2', '7', '18', '44', '47', '27', '25', '24', '38', '40', '50', '23', '3', '41', '10', '49', '20', '29', '26', '13', '51', '33', '46', '37', '34', '35', '32', '9', '19', '45', '31', '21', '42', '30', '14', '52', '4', '6', '5', '48', '43', '8', '17', '36', '39', '15', '12', '11', '28', '16', '22', '1']",16844.785718706844,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,18949.385842860192,5.328125,5.5625
9,"['1', '41', '39', '37', '20', '30', '14', '13', '12', '46', '40', '7', '31', '19', '24', '27', '52', '36', '49', '22', '18', '21', '42', '23', '29', '5', '34', '45', '3', '9', '26', '28', '11', '33', '10', '15', '6', '25', '48', '44', '35', '38', '4', '51', '47', '16', '50', '2', '17', '8', '43', '32', '1']",19570.092196210797,"['1', '52', '43', '6', '15', '5', '39', '36', '35', '33', '10', '41', '17', '2', '42', '23', '22', '25', '24', '32', '45', '19', '3', '21', '7', '29', '16', '20', '34', '49', '38', '37', '40', '46', '47', '13', '14', '11', '51', '12', '28', '27', '4', '50', '30', '8', '9', '18', '31', '44', '26', '48', '1']",16621.97718581702,19570.092196210797,5.328125,5.5625
10,"['1', '28', '27', '29', '16', '44', '39', '32', '45', '19', '3', '31', '49', '46', '26', '11', '25', '5', '10', '9', '41', '23', '30', '40', '24', '51', '12', '4', '38', '22', '20', '18', '17', '42', '2', '50', '37', '48', '15', '43', '33', '52', '13', '14', '47', '6', '8', '21', '7', '35', '36', '34', '1']",16518.123273947385,"['1', '28', '27', '29', '16', '44', '39', '32', '45', '19', '3', '31', '49', '46', '26', '11', '25', '5', '10', '9', '41', '23', '30', '40', '24', '51', '12', '4', '38', '22', '20', '18', '17', '42', '2', '50', '37', '48', '15', '43', '33', '52', '13', '14', '47', '6', '8', '21', '7', '35', '36', '34', '1']",16518.123273947385,19570.092196210797,5.328125,5.5625
11,"['1', '22', '36', '33', '14', '47', '29', '42', '50', '38', '43', '45', '32', '39', '35', '4', '6', '24', '16', '7', '17', '31', '37', '15', '26', '46', '34', '49', '20', '30', '2', '21', '3', '19', '9', '10', '51', '5', '44', '8', '41', '18', '23', '48', '25', '11', '52', '13', '27', '28', '12', '40', '1']",17127.50509034151,"['1', '28', '27', '29', '16', '44', '39', '32', '45', '19', '3', '31', '49', '46', '26', '11', '25', '5', '10', '9', '41', '23', '30', '40', '24', '51', '12', '4', '38', '22', '20', '18', '17', '42', '2', '50', '37', '48', '15', '43', '33', '52', '13', '14', '47', '6', '8', '21', '7', '35', '36', '34', '1']",16518.123273947385,19570.092196210797,5.328125,5.5625
12,"['1', '49', '40', '39', '50', '30', '17', '9', '10', '24', '37', '32', '23', '20', '22', '18', '45', '34', '48', '38', '44', '29', '16', '46', '28', '33', '41', '19', '31', '13', '47', '7', '21', '4', '51', '12', '6', '42', '2', '3', '43', '15', '5', '25', '26', '27', '14', '52', '11', '36', '35', '8', '1']",17995.406053378887,"['1', '28', '27', '29', '16', '44', '39', '32', '45', '19', '3', '31', '49', '46', '26', '11', '25', '5', '10', '9', '41', '23', '30', '40', '24', '51', '12', '4', '38', '22', '20', '18', '17', '42', '2', '50', '37', '48', '15', '43', '33', '52', '13', '14', '47', '6', '8', '21', '7', '35', '36', '34', '1']",16518.123273947385,19570.092196210797,5.328125,5.5625
13,"['1', '3', '2', '30', '44', '47', '14', '52', '11', '24', '15', '45', '22', '23', '20', '42', '7', '8', '39', '25', '26', '27', '28', '12', '36', '21', '19', '41', '10', '43', '4', '38', '40', '35', '37', '5', '33', '51', '6', '48', '34', '49', '13', '29', '50', '31', '18', '17', '9', '32', '46', '16', '1']",17121.172167309254,"['1', '28', '27', '29', '16', '44', '39', '32', '45', '19', '3', '31', '49', '46', '26', '11', '25', '5', '10', '9', '41', '23', '30', '40', '24', '51', '12', '4', '38', '22', '20', '18', '17', '42', '2', '50', '37', '48', '15', '43', '33', '52', '13', '14', '47', '6', '8', '21', '7', '35', '36', '34', '1']",16518.123273947385,19570.092196210797,5.328125,5.5625
14,"['1', '35', '28', '7', '18', '9', '10', '43', '33', '11', '52', '14', '13', '12', '25', '49', '3', '8', '41', '40', '38', '44', '23', '21', '37', '6', '46', '16', '47', '29', '30', '17', '31', '22', '36', '32', '19', '45', '5', '15', '24', '4', '51', '27', '26', '50', '42', '2', '20', '34', '48', '39', '1']",15948.684549291851,"['1', '35', '28', '7', '18', '9', '10', '43', '33', '11', '52', '14', '13', '12', '25', '49', '3', '8', '41', '40', '38', '44', '23', '21', '37', '6', '46', '16', '47', '29', '30', '17', '31', '22', '36', '32', '19', '45', '5', '15', '24', '4', '51', '27', '26', '50', '42', '2', '20', '34', '48', '39', '1']",15948.684549291851,19570.092196210797,5.328125,5.5625
