idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['1', '8', '6', '7', '4', '5', '3', '2', '1']",3507.5586588244023,"['1', '8', '6', '7', '4', '5', '3', '2', '1']",3507.5586588244023,3507.5586588244023,0.765625,0.765625
1,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3507.5586588244023,0.765625,0.765625
2,"['1', '2', '8', '6', '7', '4', '5', '3', '1']",3713.6119034934522,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.765625,0.78125
3,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.765625,0.78125
4,"['1', '3', '4', '7', '6', '5', '8', '2', '1']",3673.247289323466,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.734375,0.78125
5,"['1', '6', '7', '4', '5', '8', '2', '3', '1']",3659.6577371547146,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.734375,0.78125
6,"['1', '5', '4', '7', '6', '8', '3', '2', '1']",3565.407821976202,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.734375,0.78125
7,"['1', '5', '4', '7', '6', '8', '3', '2', '1']",3565.407821976202,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.671875,0.78125
8,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.671875,0.78125
9,"['1', '2', '3', '8', '6', '7', '4', '5', '1']",3565.4078219762023,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.671875,0.78125
10,"['1', '5', '4', '7', '6', '3', '8', '2', '1']",3565.407821976202,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.671875,0.78125
11,"['1', '5', '4', '7', '6', '8', '3', '2', '1']",3565.407821976202,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.671875,0.78125
12,"['1', '3', '4', '7', '6', '5', '8', '2', '1']",3673.247289323466,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.671875,0.78125
13,"['1', '2', '3', '4', '6', '7', '5', '8', '1']",3491.4647098638143,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.671875,0.78125
14,"['1', '4', '7', '6', '5', '8', '3', '2', '1']",3567.333710305477,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.640625,0.78125
15,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3713.6119034934522,0.640625,0.78125
16,"['1', '3', '8', '6', '7', '4', '5', '2', '1']",3724.3446452689323,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
17,"['1', '2', '3', '5', '4', '7', '6', '8', '1']",3507.5586588244023,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
18,"['1', '2', '4', '7', '6', '5', '8', '3', '1']",3685.173698414711,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
19,"['1', '8', '6', '7', '4', '5', '3', '2', '1']",3507.5586588244023,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
20,"['1', '3', '4', '7', '6', '5', '8', '2', '1']",3673.247289323466,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
21,"['1', '2', '3', '8', '6', '7', '4', '5', '1']",3565.4078219762023,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
22,"['1', '4', '7', '6', '5', '8', '3', '2', '1']",3567.333710305477,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
23,"['1', '2', '4', '7', '6', '5', '8', '3', '1']",3685.173698414711,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
24,"['1', '3', '5', '4', '7', '6', '8', '2', '1']",3713.611903493452,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
25,"['1', '5', '4', '7', '6', '8', '3', '2', '1']",3565.407821976202,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
26,"['1', '8', '5', '6', '7', '4', '3', '2', '1']",3467.1940446544168,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
27,"['1', '2', '3', '4', '6', '7', '5', '8', '1']",3491.4647098638143,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
28,"['1', '2', '3', '5', '4', '7', '6', '8', '1']",3507.5586588244023,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
29,"['1', '2', '3', '5', '4', '7', '6', '8', '1']",3507.5586588244023,"['1', '2', '3', '4', '7', '6', '5', '8', '1']",3467.1940446544168,3724.3446452689323,0.640625,0.78125
